currentMillis,ax,ay,az
2046, 0.40162528, 4.75905, 2.8335233
2056, 0.40162528, 4.743488, 2.8041945
2066, 0.39982966, 4.7291226, 2.7700772
2076, 0.40162528, 4.714159, 2.7335658
2086, 0.40102673, 4.6979985, 2.7006457
2096, 0.40162528, 4.68064, 2.6707184
2106, 0.40042818, 4.661487, 2.640791
2116, 0.39863256, 4.641136, 2.614455
2126, 0.3968369, 4.624377, 2.5821333
2136, 0.3968369, 4.6088147, 2.5546002
2146, 0.39743546, 4.5932527, 2.5276656
2156, 0.39982966, 4.575895, 2.4971397
2166, 0.40162528, 4.559734, 2.466015
2176, 0.40162528, 4.5417776, 2.4366863
2186, 0.40102673, 4.52442, 2.4097517
2196, 0.40102673, 4.506463, 2.3846128
2206, 0.40162528, 4.4873095, 2.3546853
2216, 0.40102673, 4.469353, 2.3175755
2226, 0.39863256, 4.452594, 2.287648
2236, 0.3956398, 4.4346375, 2.2607133
2246, 0.3944427, 4.4172797, 2.2331803
2256, 0.3926471, 4.395732, 2.20445
2266, 0.39145, 4.3747826, 2.178114
2276, 0.38726014, 4.356228, 2.1493835
2286, 0.3866616, 4.3394685, 2.1188576
2296, 0.38845724, 4.3173223, 2.0937188
2306, 0.3890558, 4.29757, 2.0631928
2316, 0.38845724, 4.279015, 2.0344625
2326, 0.3866616, 4.2604604, 2.0057323
2336, 0.38606304, 4.241307, 1.9805932
2347, 0.3866616, 4.222153, 1.9524615
2357, 0.38366887, 4.2018027, 1.9315124
2367, 0.38247177, 4.181452, 1.908169
2377, 0.38426742, 4.1593056, 1.8842272
2387, 0.38247177, 4.140152, 1.8608837
2397, 0.38187322, 4.1204, 1.8333505
2407, 0.38067612, 4.1000495, 1.8088101
2417, 0.3776834, 4.080896, 1.7860653
2427, 0.37828195, 4.0605454, 1.7615249
2437, 0.37588775, 4.0401945, 1.736386
2447, 0.372895, 4.0210414, 1.7148383
2457, 0.37229645, 3.9976978, 1.6891006
2467, 0.37050083, 3.9743545, 1.667553
2477, 0.36810663, 3.9546025, 1.6448082
2487, 0.36930373, 3.9336534, 1.623859
2497, 0.36750808, 3.9115071, 1.6011142
2507, 0.3627197, 3.8881638, 1.5813621
2518, 0.36212116, 3.8702073, 1.5592159
2528, 0.36212116, 3.8516524, 1.5358726
2538, 0.35733277, 3.8313017, 1.5155219
2548, 0.35673425, 3.8103526, 1.4963684
2558, 0.3561357, 3.7894034, 1.471828
2568, 0.35733277, 3.771447, 1.4478861
2578, 0.3549386, 3.7534904, 1.4263384
2588, 0.3525444, 3.73314, 1.4011993
2598, 0.3513473, 3.7085996, 1.3856372
2608, 0.3513473, 3.6852562, 1.3640895
2618, 0.34955168, 3.665504, 1.3473301
2628, 0.34715748, 3.6451535, 1.3293737
2638, 0.34596038, 3.6242044, 1.3114173
2648, 0.34715748, 3.600861, 1.2928623
2658, 0.34476328, 3.5799117, 1.2755045
2668, 0.34177056, 3.5589626, 1.2515626
2678, 0.3423691, 3.537415, 1.2336061
2688, 0.34177056, 3.5182614, 1.2156497
2698, 0.34057346, 3.4967136, 1.2012845
2708, 0.3387778, 3.4781587, 1.180934
2718, 0.334588, 3.4572096, 1.162379
2728, 0.33279234, 3.4362605, 1.1462182
2738, 0.33578506, 3.4177055, 1.1300575
2748, 0.33698216, 3.3943622, 1.1126995
2758, 0.33279234, 3.372216, 1.0995315
2768, 0.3297996, 3.3500695, 1.0839692
2778, 0.32800394, 3.3315146, 1.0696042
2788, 0.32261702, 3.3141568, 1.0546404
