currentMillis	ax	ay	az
11354	 -0.014365137	 -0.0065840213	 0.07721261
11364	 -0.014963685	 -0.0035912842	 0.082599536
11374	 -0.014963685	 -0.007781116	 0.083198085
11384	 -0.016759327	 -0.008379663	 0.0796068
11394	 -0.01795642	 -0.007781116	 0.07481842
11404	 -0.018554969	 -0.007781116	 0.07661406
11414	 -0.01795642	 -0.009576757	 0.0796068
11424	 -0.017357873	 -0.010175305	 0.07601552
11435	 -0.016759327	 -0.0119709475	 0.07661406
11445	 -0.01795642	 -0.012569495	 0.07481842
11455	 -0.016160779	 -0.01376659	 0.07182568
11465	 -0.01795642	 -0.014365137	 0.06943149
11475	 -0.016160779	 -0.014365137	 0.064643115
11485	 -0.016759327	 -0.0131680425	 0.065241665
11495	 -0.016759327	 -0.012569495	 0.0682344
11505	 -0.02035061	 -0.0113724	 0.06763585
11515	 -0.019153515	 -0.010175305	 0.07122713
11525	 -0.018554969	 -0.0071825683	 0.07242423
11535	 -0.02035061	 -0.0047883787	 0.073621325
11545	 -0.018554969	 -0.007781116	 0.07182568
11555	 -0.018554969	 -0.0059854737	 0.07601552
11565	 -0.02035061	 -0.0071825683	 0.07541697
11575	 -0.017357873	 -0.0065840213	 0.07781116
11585	 -0.017357873	 -0.0041898317	 0.07601552
11595	 -0.01795642	 -0.0065840213	 0.07481842
11606	 -0.017357873	 -0.0059854737	 0.07721261
11616	 -0.01795642	 -0.008379663	 0.07661406
11629	 -0.017357873	 -0.007781116	 0.07541697
11639	 -0.016759327	 -0.008379663	 0.07781116
11649	 -0.019752063	 -0.0113724	 0.07721261
11659	 -0.018554969	 -0.010175305	 0.07661406
11669	 -0.018554969	 -0.0065840213	 0.082000986
11679	 -0.018554969	 -0.0059854737	 0.0796068
11689	 -0.019752063	 -0.0071825683	 0.0784097
11699	 -0.01795642	 -0.00897821	 0.07661406
11709	 -0.018554969	 -0.008379663	 0.07721261
11719	 -0.018554969	 -0.0053869262	 0.08020534
11729	 -0.019153515	 -0.0065840213	 0.083198085
11739	 -0.019153515	 -0.007781116	 0.082000986
11749	 -0.019153515	 -0.0065840213	 0.08020534
11759	 -0.02035061	 -0.0071825683	 0.0796068
11769	 -0.01795642	 -0.0065840213	 0.082599536
11779	 -0.018554969	 -0.009576757	 0.082599536
11789	 -0.019752063	 -0.007781116	 0.082599536
11799	 -0.0227448	 -0.0107738525	 0.08080389
11809	 -0.023941895	 -0.012569495	 0.08439518
11819	 -0.024540443	 -0.01376659	 0.0796068
11829	 -0.022146253	 -0.014365137	 0.07721261
11839	 -0.01795642	 -0.016759327	 0.074219875
11849	 -0.016160779	 -0.01376659	 0.074219875
11859	 -0.016759327	 -0.012569495	 0.074219875
11869	 -0.016759327	 -0.012569495	 0.07721261
11879	 -0.014365137	 -0.012569495	 0.07900825
11889	 -0.0131680425	 -0.0107738525	 0.07900825
11899	 -0.0119709475	 -0.0065840213	 0.082599536
11909	 -0.0119709475	 -0.00897821	 0.082000986
11919	 -0.01376659	 -0.0071825683	 0.08080389
11929	 -0.016759327	 -0.0065840213	 0.082000986
11939	 -0.016160779	 -0.0047883787	 0.0796068
11949	 -0.01795642	 -0.0035912842	 0.083796635
11959	 -0.019153515	 -0.0047883787	 0.08140244
11969	 -0.01795642	 -0.0047883787	 0.08559228
11979	 -0.018554969	 -0.0023941894	 0.083198085
11990	 -0.017357873	 -0.0041898317	 0.08140244
12000	 -0.016759327	 -0.0047883787	 0.0796068
12010	 -0.019153515	 -0.0059854737	 0.07661406
